31,Nanas Kitchen,rick@nanaskitchencafe.com
35,Sonora's Prime,sonorasmeatmarket@hotmail.com
36,Slim Chickens,info@slimchickens.com
37,Pizza Hut,rs035620@pizzahut.com
38,Purple Toad Social Tap & Grill,purpletoadfalcon@gmail.com
39,Champs Chicken,keesd@champschicken.com
41,Champs Chicken,keesd@champschicken.com
42,Rosie's Diner,ab@eatatrosies.com
43,Rooster's Grille & Pizzaria,knucklehead339llc@gmail.com
44,South 40 Bar and Grill,casey@toasttab.com
45,Lady Luck Restaurant and Bar,ladyluckbistro@gmail.com
47,Pegasus Restaurant,jjdelay@comcast.net
48,Creekside Grill at Spring Valley Golf Club,alaynesulkin@springvalleygolf.com
